Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
GROSS,Very Positive,(157),"['Action, Strategy']","['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Steam Leaderboards']","['Action, Strategy']",hangry owl games,hangry owl games,"11 Jan, 2023",https://store.steampowered.com/app/1647420/GROSS/?snr=1_7_7_7000_150_43,$7.29
Alien Marauder,Mostly Positive,(276),"['Simulation, Strategy, Early Access']","['Single-player', 'Steam Cloud']","['Simulation, Strategy, Early Access']",Vexan Studio,Vexan Studio,"18 Nov, 2021",https://store.steampowered.com/app/1516750/Alien_Marauder/?snr=1_7_7_7000_150_43,$19.99
Atelier Firis: The Alchemist and the Mysterious Journey DX,Mostly Positive,(275),['RPG'],"['Single-player', 'Steam Achievements', 'Steam Cloud']",['RPG'],"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","22 Apr, 2021",https://store.steampowered.com/app/1502980/Atelier_Firis_The_Alchemist_and_the_Mysterious_Journey_DX/?snr=1_7_7_7000_150_43,$33.29
Accident,Mostly Positive,"(1,190)","['Indie, Simulation']",['Single-player'],"['Indie, Simulation']",Duality Games,Duality Games,"21 Sep, 2021",https://store.steampowered.com/app/852220/Accident/?snr=1_7_7_7000_150_43,$14.99
The Castles of Burgundy,Mostly Positive,(189),"['Casual, Indie, Strategy']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Turn Notifications', 'Remote Play Together']","['Casual, Indie, Strategy']",DIGIDICED,DIGIDICED,"28 Feb, 2019",https://store.steampowered.com/app/903040/The_Castles_of_Burgundy/?snr=1_7_7_7000_150_43,$14.99
Timeflow – Life Sim,Very Positive,"(1,237)","['Indie, RPG, Simulation, Strategy, Early Access']","['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']","['Indie, RPG, Simulation, Strategy, Early Access']",Look Book Inc,Look Book Inc,"1 Jan, 2019",https://store.steampowered.com/app/1005930/Timeflow__Life_Sim/?snr=1_7_7_7000_150_43,$5.79
X3: Terran Conflict,Very Positive,"(1,931)","['Action, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']","['Action, Simulation, Strategy']",Egosoft,Egosoft,"16 Oct, 2008",https://store.steampowered.com/app/2820/X3_Terran_Conflict/?snr=1_7_7_7000_150_43,$8.49
Deadlight,Mostly Positive,"(9,122)","['Action, Adventure, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']","['Action, Adventure, Indie']","Tequila Works, S.L.",Xbox Game Studios,"25 Oct, 2012",https://store.steampowered.com/app/211400/Deadlight/?snr=1_7_7_7000_150_43,$3.74
Infinite Tao,Mostly Positive,(776),"['Action, Casual, Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action, Casual, Indie']",insomnia,insomnia,"8 May, 2023",https://store.steampowered.com/app/2151580/Infinite_Tao/?snr=1_7_7_7000_150_43,$2.59
OPUS: Rocket of Whispers,Very Positive,"(1,152)","['Adventure, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']","['Adventure, Indie']",SIGONO INC.,SIGONO INC.,"8 Feb, 2018",https://store.steampowered.com/app/742250/OPUS_Rocket_of_Whispers/?snr=1_7_7_7000_150_43,$7.99
Ben 10,Mostly Positive,(305),['Action'],['Single-player'],['Action'],Torus Games,Outright Games Ltd.,"15 Nov, 2017",https://store.steampowered.com/app/703180/Ben_10/?snr=1_7_7_7000_150_43,$12.49
Tempest: Pirate Action RPG,Mostly Positive,"(1,671)","['Action, Indie, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']","['Action, Indie, RPG']",HeroCraft,HeroCraft PC,"22 Aug, 2016",https://store.steampowered.com/app/418180/Tempest_Pirate_Action_RPG/?snr=1_7_7_7000_150_43,$7.99
The Catch: Carp & Coarse Fishing,Mostly Positive,(264),"['Casual, Simulation, Sports, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements']","['Casual, Simulation, Sports, Strategy']",Dovetail Games,Dovetail Games - Fishing,"30 Jun, 2020",https://store.steampowered.com/app/1237610/The_Catch_Carp__Coarse_Fishing/?snr=1_7_7_7000_150_43,$3.74
The Immortal Mayor,Mixed,"(2,538)","['Simulation, Strategy']","['Single-player', 'Steam Cloud']","['Simulation, Strategy']",Star Chess Studio,Yooreka Studio,"18 Aug, 2023",https://store.steampowered.com/app/1426730/The_Immortal_Mayor/?snr=1_7_7_7000_150_43,$19.99
We Are The Caretakers,Mixed,(23),"['Indie, RPG, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","['Indie, RPG, Simulation, Strategy']",Heart Shaped Games LLC,Heart Shaped Games LLC,"6 Jan, 2023",https://store.steampowered.com/app/1042960/We_Are_The_Caretakers/?snr=1_7_7_7000_150_43,$19.99
Hakuoki: Edo Blossoms,Overwhelmingly Positive,(721),['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",['Adventure'],Idea Factory,Idea Factory International,"13 Mar, 2018",https://store.steampowered.com/app/733340/Hakuoki_Edo_Blossoms/?snr=1_7_7_7000_150_43,$5.79
Despair: Blood Curse,Positive,(38),"['Action, Adventure, Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam is learning about this game ']","['Action, Adventure, Indie']",Crimson Sequence,Crimson Sequence,"10 Jan, 2024",https://store.steampowered.com/app/1629350/Despair_Blood_Curse/?snr=1_7_7_7000_150_43,$6.59
Circadian Dice,Very Positive,(474),['Strategy'],"['Single-player', 'Steam Cloud']",['Strategy'],Shuffle Up Games,Shuffle Up Games,"11 Jul, 2022",https://store.steampowered.com/app/1893620/Circadian_Dice/?snr=1_7_7_7000_150_43,$5.99
Legend of Keepers: Career of a Dungeon Manager,Mostly Positive,"(3,592)","['RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","['RPG, Strategy']",Goblinz Studio,Goblinz Publishing,"29 Apr, 2021",https://store.steampowered.com/app/978520/Legend_of_Keepers_Career_of_a_Dungeon_Manager/?snr=1_7_7_7000_150_43,$10.49
Labyrinth of Refrain: Coven of Dusk,Mostly Positive,(982),"['RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']","['RPG, Strategy']","Nippon Ichi Software, Inc.","NIS America, Inc.","18 Sep, 2018",https://store.steampowered.com/app/566540/Labyrinth_of_Refrain_Coven_of_Dusk/?snr=1_7_7_7000_150_43,$24.99
Niche - a genetics survival game,Very Positive,"(3,941)","['Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Indie, Simulation, Strategy']",Stray Fawn Studio,Stray Fawn Publishing,"15 Sep, 2016",https://store.steampowered.com/app/440650/Niche__a_genetics_survival_game/?snr=1_7_7_7000_150_43,$9.29
Knights of Pen and Paper 2,Very Positive,"(2,130)","['Adventure, Indie, RPG, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Adventure, Indie, RPG, Simulation, Strategy']",Kyy Games,Paradox Interactive,"20 Oct, 2015",https://store.steampowered.com/app/310060/Knights_of_Pen_and_Paper_2/?snr=1_7_7_7000_150_43,$4.99
Infested Planet,Very Positive,"(2,305)","['Action, Indie, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","['Action, Indie, Strategy']",Rocket Bear Games,Rocket Bear Games,"6 Mar, 2014",https://store.steampowered.com/app/204530/Infested_Planet/?snr=1_7_7_7000_150_43,$14.99
